date,waterbody,site,depth,field_dups,lab_reps,variable,units,value,notes
2021-11-04,shubael,4,int,NA,1,phyco,rfu,4.584000000000001,NA
2021-11-04,shubael,4,int,NA,2,phyco,rfu,4.4808,NA
2021-11-04,shubael,B,int,NA,1,phyco,rfu,3.641600000000001,NA
2021-11-04,shubael,B,int,NA,2,phyco,rfu,3.2288,NA
2021-11-04,shubael,B,int,NA,3,phyco,rfu,3.624000000000001,NA
2021-09-15,hamblin,1,int,NA,1,phyco,µg/L,0.04954772992914143,NA
2021-09-15,hamblin,1,int,NA,2,phyco,µg/L,0.019770870336689,NA
2021-09-15,hamblin,2,int,NA,1,phyco,µg/L,0.01314039552865308,NA
2021-09-15,hamblin,2,int,NA,2,phyco,µg/L,0.02362860113409175,NA
2021-09-15,hamblin,3,int,NA,1,phyco,µg/L,0.05316435255170651,NA
2021-09-15,hamblin,3,int,NA,2,phyco,µg/L,0.0632306188511793,NA
2021-09-15,hamblin,4,int,NA,1,phyco,µg/L,0.02634106810101556,NA
2021-09-15,hamblin,4,int,NA,2,phyco,µg/L,0.08233844170706474,NA
2021-09-15,hamblin,B,int,NA,1,phyco,µg/L,0.01018682038689159,NA
2021-09-15,hamblin,B,int,NA,2,phyco,µg/L,0.01645563293267104,NA
2021-09-15,hamblin,B,int,NA,3,phyco,µg/L,0.01235679396043063,NA
2021-09-15,shubael,1,int,NA,1,phyco,µg/L,0.2067502599233031,NA
2021-09-15,shubael,1,int,NA,2,phyco,µg/L,0.3754657052659636,NA
2021-09-15,shubael,2,int,NA,1,phyco,µg/L,0.2679314592883622,NA
2021-09-15,shubael,2,int,NA,2,phyco,µg/L,0.27932382054944216,NA
2021-09-15,shubael,3,int,NA,1,phyco,µg/L,0.3659419323598756,NA
2021-09-15,shubael,3,int,NA,2,phyco,µg/L,0.3295345979593872,NA
2021-09-15,shubael,4,int,NA,1,phyco,µg/L,0.2668464725015927,NA
2021-09-15,shubael,4,int,NA,2,phyco,µg/L,0.2564185439398634,NA
2021-09-15,shubael,B,int,NA,1,phyco,µg/L,0.2624462483108052,NA
2021-09-15,shubael,B,int,NA,2,phyco,µg/L,0.2778771715004162,NA
2021-09-15,shubael,B,int,NA,3,phyco,µg/L,0.3047607329948165,NA
2021-10-13,hamblin,B,int,NA,1,phyco,µg/L,-0.00373717670998388,NA
2021-10-13,hamblin,B,int,NA,2,phyco,µg/L,0.00500299462788171,NA
2021-10-13,hamblin,B,int,NA,3,phyco,µg/L,-0.00771546159480544,NA
2021-10-13,shubael,B,int,NA,1,phyco,µg/L,0.15304341397821178,NA
2021-10-13,shubael,B,int,NA,2,phyco,µg/L,0.26033655178097553,NA
2021-10-13,shubael,B,int,NA,3,phyco,µg/L,0.157684746343837,NA
2021-11-04,hamblin,1,int,NA,1,phyco,µg/L,0.01898726876846664,NA
2021-11-04,hamblin,1,int,NA,2,phyco,µg/L,-0.00349606853514622,NA
2021-11-04,hamblin,2,int,NA,1,phyco,µg/L,0.02603968288246854,NA
2021-11-04,hamblin,2,int,NA,2,phyco,µg/L,0.00699213707029248,NA
2021-11-04,hamblin,3,int,NA,1,phyco,µg/L,0.07667239959837945,NA
2021-11-04,hamblin,3,int,NA,2,phyco,µg/L,0.0743818719374216,NA
2021-11-04,hamblin,4,int,NA,1,phyco,µg/L,0.05714263743652811,NA
2021-11-04,hamblin,4,int,NA,2,phyco,µg/L,0.02399026339634831,NA
2021-11-04,hamblin,B,int,NA,1,phyco,µg/L,0.00180831131128256,NA
2021-11-04,hamblin,B,int,NA,2,phyco,µg/L,0.04677498591850825,NA
2021-11-04,hamblin,B,int,NA,3,phyco,µg/L,0.00663047480803596,NA
2021-11-04,shubael,1,int,NA,1,phyco,µg/L,0.29614111574436974,NA
2021-11-04,shubael,1,int,NA,2,phyco,µg/L,0.416634926119496,NA
2021-11-04,shubael,2,int,NA,1,phyco,µg/L,0.284628200395871,NA
